x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.24,0.27,8,0.996117,0.995,0.973515,0.977,0.992859,0.992,0.983930,0.995,0.867686,0.865,0.378107,0.418
0.41,0.85,1,0.872169,0.849,0.866794,0.857,0.795480,0.775,0.837492,0.815,0.116484,0.193,0.015074,0.058
0.41,0.85,2,0.923537,0.923,0.910152,0.901,0.804378,0.786,0.875544,0.858,0.293891,0.354,0.052118,0.113
0.41,0.85,3,0.953609,0.944,0.934160,0.924,0.825066,0.813,0.906354,0.890,0.444708,0.474,0.101105,0.167
0.41,0.85,4,0.971858,0.970,0.948977,0.940,0.864127,0.846,0.930624,0.917,0.560669,0.589,0.154948,0.218
0.41,0.85,5,0.982929,0.983,0.958697,0.949,0.915448,0.905,0.949301,0.944,0.648520,0.645,0.209095,0.264
0.41,0.85,6,0.989645,0.988,0.965431,0.961,0.958282,0.961,0.963389,0.951,0.715613,0.726,0.260915,0.314
0.41,0.85,7,0.993719,0.996,0.970321,0.966,0.982450,0.979,0.973834,0.962,0.767540,0.765,0.309107,0.351
0.41,0.85,8,0.996190,0.997,0.974015,0.967,0.993184,0.994,0.981466,0.978,0.808273,0.810,0.353215,0.392
0.32,0.69,1,0.772220,0.763,0.762622,0.745,0.629995,0.608,0.698785,0.691,0.102876,0.159,0.011962,0.046
0.32,0.69,2,0.861779,0.861,0.837583,0.840,0.646089,0.623,0.763888,0.748,0.281608,0.323,0.042042,0.092
0.32,0.69,3,0.916140,0.922,0.880982,0.872,0.683511,0.678,0.818053,0.806,0.450225,0.467,0.083421,0.136
0.32,0.69,4,0.949128,0.949,0.907767,0.898,0.754169,0.724,0.861647,0.857,0.587759,0.598,0.131224,0.180
0.32,0.69,5,0.969141,0.969,0.925336,0.920,0.847015,0.841,0.895843,0.890,0.693904,0.691,0.182027,0.229
0.32,0.69,6,0.981282,0.980,0.937509,0.936,0.924514,0.915,0.922158,0.916,0.773851,0.767,0.233494,0.272
0.32,0.69,7,0.988646,0.989,0.946350,0.936,0.968244,0.962,0.942127,0.925,0.833371,0.828,0.284094,0.333
0.32,0.69,8,0.993114,0.991,0.953027,0.951,0.987666,0.988,0.957130,0.953,0.877422,0.869,0.332871,0.350
0.38,0.59,1,0.766162,0.753,0.756308,0.742,0.620261,0.598,0.675649,0.659,0.103029,0.156,0.011788,0.043
0.38,0.59,2,0.858102,0.844,0.833263,0.828,0.636778,0.632,0.731565,0.714,0.284649,0.322,0.041580,0.088
0.38,0.59,3,0.913910,0.903,0.877816,0.881,0.675184,0.660,0.780632,0.771,0.456618,0.477,0.082910,0.138
0.38,0.59,4,0.947775,0.951,0.905314,0.893,0.747701,0.749,0.822608,0.791,0.595900,0.601,0.131141,0.180
0.38,0.59,5,0.968320,0.963,0.923350,0.913,0.842990,0.837,0.857767,0.840,0.701887,0.705,0.182938,0.226
0.38,0.59,6,0.980784,0.980,0.935847,0.934,0.922528,0.906,0.886719,0.865,0.780348,0.773,0.235931,0.265
0.38,0.59,7,0.988345,0.989,0.944923,0.938,0.967408,0.972,0.910242,0.890,0.837775,0.833,0.288466,0.314
0.38,0.59,8,0.992930,0.993,0.951778,0.947,0.987341,0.986,0.929157,0.910,0.879681,0.866,0.339428,0.361
0.46,0.04,1,0.509810,0.853,0.492217,0.849,0.282242,0.767,0.379679,0.805,0.048731,0.179,0.005135,0.057
0.46,0.04,2,0.685921,0.920,0.636214,0.895,0.306329,0.801,0.489578,0.840,0.144736,0.309,0.018265,0.111
0.46,0.04,3,0.803334,0.945,0.726490,0.932,0.364886,0.796,0.591577,0.876,0.246738,0.400,0.036850,0.167
0.46,0.04,4,0.878447,0.969,0.784732,0.945,0.485112,0.846,0.678745,0.909,0.338853,0.467,0.059117,0.215
0.46,0.04,5,0.925440,0.985,0.823980,0.954,0.662090,0.904,0.748854,0.921,0.416610,0.519,0.083771,0.258
0.46,0.04,6,0.954470,0.991,0.851659,0.963,0.826129,0.951,0.802886,0.942,0.480302,0.551,0.109851,0.292
0.46,0.04,7,0.972272,0.994,0.872010,0.969,0.925170,0.981,0.843315,0.952,0.531911,0.569,0.136633,0.324
0.46,0.04,8,0.983140,0.995,0.887520,0.970,0.970647,0.992,0.872943,0.964,0.573760,0.612,0.163571,0.340
0.38,0.94,1,0.873378,0.856,0.868054,0.859,0.795480,0.768,0.841013,0.819,0.109913,0.180,0.015051,0.057
0.38,0.94,2,0.919924,0.908,0.905979,0.908,0.804378,0.784,0.881103,0.850,0.264556,0.317,0.051522,0.112
0.38,0.94,3,0.945926,0.949,0.934793,0.920,0.825066,0.800,0.912721,0.905,0.386818,0.429,0.098592,0.169
0.38,0.94,4,0.972128,0.969,0.949468,0.939,0.864127,0.855,0.936925,0.931,0.476311,0.501,0.148766,0.219
0.38,0.94,5,0.983093,0.977,0.959094,0.949,0.915448,0.901,0.955012,0.946,0.542582,0.554,0.197534,0.260
0.38,0.94,6,0.989745,0.989,0.965763,0.959,0.958282,0.953,0.968267,0.959,0.593278,0.594,0.242607,0.296
0.38,0.94,7,0.993780,0.991,0.970607,0.967,0.982450,0.982,0.977823,0.969,0.633395,0.631,0.283136,0.322
0.38,0.94,8,0.996227,0.994,0.974265,0.970,0.993184,0.994,0.984621,0.979,0.666117,0.685,0.319097,0.363
0.25,0.62,1,0.847338,0.848,0.840905,0.844,0.746808,0.751,0.812363,0.822,0.119702,0.193,0.014324,0.057
0.25,0.62,2,0.907362,0.905,0.891146,0.894,0.757823,0.772,0.867379,0.880,0.318797,0.371,0.050279,0.112
0.25,0.62,3,0.943796,0.946,0.920232,0.921,0.783432,0.786,0.908290,0.920,0.497151,0.524,0.099560,0.169
0.25,0.62,4,0.965905,0.963,0.938184,0.933,0.831787,0.821,0.937382,0.955,0.635040,0.670,0.156176,0.223
0.25,0.62,5,0.979318,0.982,0.949959,0.953,0.895321,0.902,0.957409,0.965,0.736059,0.750,0.215881,0.282
0.25,0.62,6,0.987455,0.987,0.958118,0.965,0.948350,0.954,0.970908,0.977,0.808604,0.822,0.275761,0.333
0.25,0.62,7,0.992391,0.993,0.964043,0.959,0.978272,0.978,0.979907,0.987,0.860444,0.868,0.333892,0.397
0.25,0.62,8,0.995385,0.995,0.968518,0.978,0.991561,0.993,0.985891,0.991,0.897576,0.899,0.389084,0.436
0.36,0.85,1,0.799626,0.783,0.791200,0.769,0.678667,0.673,0.738315,0.712,0.101926,0.166,0.012809,0.050
